# Node ID	X Coordinate	Y Coordinate	Z Coordinate
      273     3.421476493E-02    -3.129122545E-02    -5.067036538E-02
      274    -3.351725697E-02    -3.050952100E-02    -5.079306934E-02
      275    -3.262696883E-02     3.137179378E-02    -5.046425341E-02
      276    -7.901325583E-02    -2.169826935E-02    -5.837443691E-02
      277     3.262163837E-02     3.143166082E-02    -5.052583951E-02
      278     5.942323443E-03    -6.085088934E-02    -4.136416740E-02
      279    -5.935313054E-03     6.082850544E-02    -4.134208577E-02
      280    -5.012043885E-02     6.245853610E-03    -5.519639249E-02
      281     6.708166419E-02    -8.590183284E-03    -5.751144088E-02
      282     6.601202239E-02    -2.561299937E-02    -5.553852230E-02
      283    -6.560182469E-02    -2.538891083E-02    -5.555329758E-02
      284     7.372125439E-02    -3.878011553E-02    -5.425342331E-02
      285     7.367493977E-02     3.773843482E-02    -5.452889592E-02
      286    -7.385528745E-02    -3.852899504E-02    -5.439428968E-02
      287    -7.368137206E-02     3.772470188E-02    -5.442762576E-02
      288    -1.113562493E-01    -2.160131762E-02    -6.537211869E-02
      289     1.113730342E-01     2.157826757E-02    -6.538759436E-02
      290    -6.312551211E-02    -1.258625829E-02    -5.664197227E-02
      291     4.064968525E-02     6.461223188E-02    -4.205150489E-02
      292    -4.065397284E-02    -6.462966043E-02    -4.205532638E-02
      293     6.089586620E-02     1.750277213E-02    -5.588263895E-02
      294    -6.037262998E-02     1.628505016E-02    -5.584165516E-02
      295    -4.212815320E-02     1.548194799E-02    -5.365167944E-02
      296     4.318812200E-02     1.463279028E-02    -5.391630661E-02
      297    -1.036606653E-01     3.281794828E-02    -6.165077488E-02
      298     1.036183692E-01    -3.208407566E-02    -6.180014527E-02
      299     1.037928912E-01     3.212475390E-02    -6.185886979E-02
      300    -1.036119816E-01    -3.283023719E-02    -6.168140557E-02
      301     3.380242268E-02     6.643043578E-02    -4.077155838E-02
      302    -3.380233152E-02    -6.643654918E-02    -4.077789562E-02
      303     3.518601269E-02    -5.763013503E-02    -4.388873730E-02
      304    -3.518733415E-02     5.758757090E-02    -4.387907513E-02
      305    -5.091304027E-02    -4.215716474E-02    -5.006741064E-02
      306     5.077776366E-02    -4.215673463E-02    -4.999507250E-02
      307    -5.035602838E-02     4.201941629E-02    -4.991620222E-02
